,Learning Rate,Max Depth,Boosting Count,R2
0,1.0,3,3,0.88
1,1.0,3,4,0.88
2,1.0,3,5,0.885
3,1.0,3,6,0.8825
4,1.0,3,7,0.875
5,1.0,3,8,0.8725
6,1.0,3,9,0.865
7,1.0,3,10,0.855
8,1.0,3,11,0.8575
9,1.0,3,12,0.8625
10,1.0,3,13,0.8625
11,1.0,3,14,0.8575
12,1.0,3,15,0.86
13,1.0,3,16,0.86
14,1.0,3,17,0.8575
15,1.0,3,18,0.8575
16,1.0,3,19,0.8575
17,1.0,3,20,0.845
18,1.0,3,21,0.845
19,1.0,3,22,0.85
20,1.0,3,23,0.8425
21,1.0,3,24,0.8425
22,1.0,3,25,0.845
23,1.0,3,26,0.84
24,1.0,3,27,0.8475
25,1.0,3,28,0.8525
26,1.0,3,29,0.85
27,1.0,3,30,0.845
28,1.0,3,31,0.845
29,1.0,3,32,0.85
30,1.0,3,33,0.8475
31,1.0,3,34,0.845
32,1.0,3,35,0.8475
33,1.0,3,36,0.8475
34,1.0,3,37,0.8575
35,1.0,3,38,0.855
36,1.0,3,39,0.855
37,1.0,3,40,0.86
38,1.0,3,41,0.8575
39,1.0,3,42,0.8675
40,1.0,3,43,0.8675
41,1.0,3,44,0.865
42,1.0,3,45,0.86
43,1.0,3,46,0.86
44,1.0,3,47,0.8575
45,1.0,3,48,0.8625
46,1.0,3,49,0.8575
47,1.0,4,3,0.88
48,1.0,4,4,0.8725
49,1.0,4,5,0.8725
50,1.0,4,6,0.8775
51,1.0,4,7,0.885
52,1.0,4,8,0.8825
53,1.0,4,9,0.865
54,1.0,4,10,0.8725
55,1.0,4,11,0.87
56,1.0,4,12,0.8675
57,1.0,4,13,0.8675
58,1.0,4,14,0.86
59,1.0,4,15,0.8725
60,1.0,4,16,0.8725
61,1.0,4,17,0.8775
62,1.0,4,18,0.8725
63,1.0,4,19,0.87
64,1.0,4,20,0.87
65,1.0,4,21,0.865
66,1.0,4,22,0.87
67,1.0,4,23,0.88
68,1.0,4,24,0.88
69,1.0,4,25,0.8775
70,1.0,4,26,0.8825
71,1.0,4,27,0.885
72,1.0,4,28,0.88
73,1.0,4,29,0.8825
74,1.0,4,30,0.88
75,1.0,4,31,0.885
76,1.0,4,32,0.8825
77,1.0,4,33,0.885
78,1.0,4,34,0.8875
79,1.0,4,35,0.885
80,1.0,4,36,0.8825
81,1.0,4,37,0.885
82,1.0,4,38,0.88
83,1.0,4,39,0.88
84,1.0,4,40,0.8775
85,1.0,4,41,0.8825
86,1.0,4,42,0.88
87,1.0,4,43,0.8825
88,1.0,4,44,0.88
89,1.0,4,45,0.8725
90,1.0,4,46,0.8825
91,1.0,4,47,0.88
92,1.0,4,48,0.885
93,1.0,4,49,0.8825
94,1.0,5,3,0.8825
95,1.0,5,4,0.89
96,1.0,5,5,0.885
97,1.0,5,6,0.8825
98,1.0,5,7,0.875
99,1.0,5,8,0.875
100,1.0,5,9,0.8725
101,1.0,5,10,0.8625
102,1.0,5,11,0.8625
103,1.0,5,12,0.87
104,1.0,5,13,0.875
105,1.0,5,14,0.87
106,1.0,5,15,0.87
107,1.0,5,16,0.865
108,1.0,5,17,0.8675
109,1.0,5,18,0.865
110,1.0,5,19,0.87
111,1.0,5,20,0.875
112,1.0,5,21,0.875
113,1.0,5,22,0.875
114,1.0,5,23,0.875
115,1.0,5,24,0.8775
116,1.0,5,25,0.8775
117,1.0,5,26,0.8775
118,1.0,5,27,0.8825
119,1.0,5,28,0.8775
120,1.0,5,29,0.8775
121,1.0,5,30,0.8775
122,1.0,5,31,0.8775
123,1.0,5,32,0.88
124,1.0,5,33,0.88
125,1.0,5,34,0.885
126,1.0,5,35,0.8825
127,1.0,5,36,0.8775
128,1.0,5,37,0.885
129,1.0,5,38,0.885
130,1.0,5,39,0.8825
131,1.0,5,40,0.885
132,1.0,5,41,0.885
133,1.0,5,42,0.8825
134,1.0,5,43,0.8875
135,1.0,5,44,0.885
136,1.0,5,45,0.8875
137,1.0,5,46,0.8875
138,1.0,5,47,0.885
139,1.0,5,48,0.8875
140,1.0,5,49,0.89
141,1.0,6,3,0.855
142,1.0,6,4,0.8625
143,1.0,6,5,0.8675
144,1.0,6,6,0.8675
145,1.0,6,7,0.8675
146,1.0,6,8,0.865
147,1.0,6,9,0.8625
148,1.0,6,10,0.8625
149,1.0,6,11,0.855
150,1.0,6,12,0.8525
151,1.0,6,13,0.855
152,1.0,6,14,0.8425
153,1.0,6,15,0.845
154,1.0,6,16,0.84
155,1.0,6,17,0.8475
156,1.0,6,18,0.8525
157,1.0,6,19,0.8425
158,1.0,6,20,0.8425
159,1.0,6,21,0.845
160,1.0,6,22,0.845
161,1.0,6,23,0.845
162,1.0,6,24,0.845
163,1.0,6,25,0.8475
164,1.0,6,26,0.8525
165,1.0,6,27,0.84
166,1.0,6,28,0.845
167,1.0,6,29,0.8425
168,1.0,6,30,0.8425
169,1.0,6,31,0.8475
170,1.0,6,32,0.85
171,1.0,6,33,0.85
172,1.0,6,34,0.85
173,1.0,6,35,0.85
174,1.0,6,36,0.85
175,1.0,6,37,0.85
176,1.0,6,38,0.85
177,1.0,6,39,0.8525
178,1.0,6,40,0.8475
179,1.0,6,41,0.85
180,1.0,6,42,0.8525
181,1.0,6,43,0.86
182,1.0,6,44,0.855
183,1.0,6,45,0.8525
184,1.0,6,46,0.8525
185,1.0,6,47,0.86
186,1.0,6,48,0.8625
187,1.0,6,49,0.8575
188,1.0,7,3,0.84
189,1.0,7,4,0.845
190,1.0,7,5,0.84
191,1.0,7,6,0.855
192,1.0,7,7,0.8525
193,1.0,7,8,0.855
194,1.0,7,9,0.86
195,1.0,7,10,0.8525
196,1.0,7,11,0.8575
197,1.0,7,12,0.8575
198,1.0,7,13,0.8575
199,1.0,7,14,0.8675
200,1.0,7,15,0.8725
201,1.0,7,16,0.8725
202,1.0,7,17,0.8675
203,1.0,7,18,0.8675
204,1.0,7,19,0.8675
205,1.0,7,20,0.87
206,1.0,7,21,0.8725
207,1.0,7,22,0.8725
208,1.0,7,23,0.8725
209,1.0,7,24,0.8675
210,1.0,7,25,0.865
211,1.0,7,26,0.8625
212,1.0,7,27,0.8725
213,1.0,7,28,0.865
214,1.0,7,29,0.8625
215,1.0,7,30,0.8625
